,Inches,CPU_Frequency (GHz),RAM (GB),Weight (kg),Price (SAR),Company_Encoded,Base_Product_Encoded,TypeName_Encoded,Resolution_Width,Resolution_Height,Pixel_Area,IPS_Panel,Retina_Display,Touchscreen,CPU_Company_Intel,CPU_Company_Samsung,CPU_Family_Grouped_A6,CPU_Family_Grouped_A9,CPU_Family_Grouped_Celeron,CPU_Family_Grouped_Core M,CPU_Family_Grouped_Core i3,CPU_Family_Grouped_Core i5,CPU_Family_Grouped_Core i7,CPU_Family_Grouped_Other,CPU_Family_Grouped_Pentium,Primary_Storage_Capacity,Secondary_Storage_Capacity,Total_Storage_GB,Primary_Storage_Type_HDD,Primary_Storage_Type_Hybrid,Primary_Storage_Type_SSD,GPU_Company_Grouped_Intel,GPU_Company_Grouped_Nvidia,GPU_Company_Grouped_Other,GPU_Company_Encoded,GPU_Series_Frequency,OpSys_Encoded
96,15.6,2.7,8,2.2,2381.603,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,1024.0,0.0,1024.0,True,False,False,False,False,False,3088.7654103448276,167,2353.180654248366
97,15.6,2.0,4,2.2,1925.45,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,2353.180654248366
98,15.6,2.4,6,2.0,2290.69,4461.6040552631575,1,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,131,4687.31573759542
99,15.6,2.8,12,2.62,4958.530000000001,4288.849216791045,11,5,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,131072.0,0.0,131072.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
100,15.6,2.7,8,1.91,2854.4300000000003,4288.849216791045,1,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
101,15.6,1.5,4,2.1,1385.53,4288.849216791045,1,2,1920,1080,2073600,0,0,0,False,False,False,False,False,False,False,False,False,True,False,500.0,0.0,500.0,True,False,False,False,False,False,3088.7654103448276,167,4687.31573759542
102,15.6,1.6,8,2.2,2568.59,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,1024.0,0.0,1024.0,True,False,False,False,False,False,3088.7654103448276,167,2353.180654248366
103,13.3,2.7,8,1.38,4442.43,4288.849216791045,8,3,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,21,4687.31573759542
104,13.5,2.5,8,1.252,5319.8,5703.702308333333,6,3,2256,1504,3393024,0,0,1,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,6456.205009433963
105,14.0,2.5,6,1.58,2616.23,4288.849216791045,9,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,131,4687.31573759542
106,15.6,2.0,4,1.85,1647.153,4342.632991695502,99,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
107,14.0,2.7,8,1.3,4736.21,4461.6040552631575,1,3,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,131,4687.31573759542
108,15.6,2.8,16,2.2,5157.030000000001,6863.765348148148,3,5,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,262144.0,0.0,262144.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
109,14.0,2.7,8,1.58,5875.6,4342.632991695502,99,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
110,15.6,1.8,16,1.5,5010.14,4461.6040552631575,23,3,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,262144.0,0.0,262144.0,False,False,True,False,True,False,5942.078051010101,21,4687.31573759542
111,13.3,2.4,8,1.23,5474.63,4760.9237274914085,39,3,3200,1800,5760000,0,0,1,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,131,4687.31573759542
112,13.3,2.5,8,1.37,5554.030000000001,4342.632991695502,99,4,1920,1080,2073600,1,0,1,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
113,14.0,1.6,4,1.63,2866.34,4288.849216791045,72,2,1366,768,1049088,1,0,0,True,False,False,False,False,False,False,True,False,False,False,500.0,0.0,500.0,True,False,False,True,False,False,4050.8598208806816,68,4687.31573759542
